subject,condition,trial,band,angle_rad
12,a50_an,19,Alpha,4.244471797040569
12,a50_an,20,Alpha,4.125360171905803
12,a50_an,21,Alpha,0.7233634720452007
12,a50_an,22,Alpha,4.510225605157562
12,a50_an,23,Alpha,1.943089281011225
12,a50_an,24,Alpha,1.245912898683509
12,a50_an,25,Alpha,2.600105743863187
12,a50_an,26,Alpha,3.2036389617835157
12,a50_an,27,Alpha,3.6288569365044316
12,a50_an,28,Alpha,4.406475186598366
12,a50_an,29,Alpha,2.052759247842446
12,a50_an,30,Alpha,4.100080543496988
12,a50_an,1,Beta,4.057645080848292
12,a50_an,2,Beta,1.1551529302813506
12,a50_an,3,Beta,0.3845927162755384
12,a50_an,4,Beta,3.543643866511238
12,a50_an,5,Beta,0.6159802178445561
12,a50_an,6,Beta,5.133124576081693
12,a50_an,7,Beta,3.336590555595688
12,a50_an,8,Beta,1.7919868144551738
12,a50_an,9,Beta,2.8632644511226237
12,a50_an,10,Beta,2.3483978422526373
12,a50_an,12,Beta,4.573318776770242
12,a50_an,13,Beta,1.174244065096894
12,a50_an,14,Beta,0.6011378683887616
12,a50_an,15,Beta,1.6283528808369963
12,a50_an,16,Beta,3.9380449651689933
12,a50_an,17,Beta,5.796980827406882
12,a50_an,18,Beta,3.909183728861294
12,a50_an,19,Beta,5.080029652069273
12,a50_an,20,Beta,5.0824109711973255
12,a50_an,21,Beta,0.5571922150025241
12,a50_an,22,Beta,5.6636557985057
12,a50_an,23,Beta,1.601777659147841
12,a50_an,24,Beta,0.8267357588212538
12,a50_an,25,Beta,2.306759109899573
12,a50_an,26,Beta,3.2682045831393585
12,a50_an,27,Beta,4.0695314221200505
12,a50_an,28,Beta,4.826791492314063
12,a50_an,29,Beta,1.5113709496200465
12,a50_an,30,Beta,0.45970039345504626
12,a75_an,1,Delta,2.8315237089940593
12,a75_an,2,Delta,3.5095628248963053
12,a75_an,3,Delta,1.756270067951408
12,a75_an,4,Delta,5.145855666656484
12,a75_an,5,Delta,2.7941023752402074
12,a75_an,6,Delta,2.1603416808489397
12,a75_an,7,Delta,4.679188623950461
12,a75_an,8,Delta,5.452672924000869
12,a75_an,9,Delta,3.0045809419281193
12,a75_an,10,Delta,3.0558647542046278
12,a75_an,11,Delta,0.6961657722121186
12,a75_an,12,Delta,5.150648793222551
12,a75_an,13,Delta,3.338188366959677
12,a75_an,14,Delta,5.394961374602265
12,a75_an,15,Delta,3.98374910364748
12,a75_an,1,Theta,4.160024471241587
12,a75_an,2,Theta,3.434534259213821
12,a75_an,3,Theta,4.238781236974964
12,a75_an,4,Theta,5.79235368844734
12,a75_an,5,Theta,2.139812556385237
12,a75_an,6,Theta,2.1294978590821714
12,a75_an,7,Theta,4.575680388807128
12,a75_an,8,Theta,5.249522625791194
12,a75_an,9,Theta,3.3307615409734677
12,a75_an,10,Theta,3.6294886945100986
12,a75_an,11,Theta,6.106056879566501
12,a75_an,12,Theta,3.1496609851096373
12,a75_an,13,Theta,2.371072636473569
12,a75_an,14,Theta,0.41042832770389776
12,a75_an,15,Theta,3.9958395884732076
12,a75_an,1,Alpha,4.788173026320321
12,a75_an,2,Alpha,0.0022491413233767374
12,a75_an,3,Alpha,4.670498916774632
12,a75_an,4,Alpha,5.776847672401553
12,a75_an,5,Alpha,5.185916610992675
12,a75_an,6,Alpha,2.628256091832525
12,a75_an,7,Alpha,4.561962052516532
12,a75_an,8,Alpha,1.612034371971975
12,a75_an,9,Alpha,5.514227206338133
12,a75_an,10,Alpha,2.214621362359801
12,a75_an,11,Alpha,0.03861329464720946
12,a75_an,12,Alpha,4.584269976075578
12,a75_an,13,Alpha,3.698520441979537
12,a75_an,14,Alpha,5.387532414466627
12,a75_an,15,Alpha,6.227464593640732
12,a75_an,1,Beta,4.092292749555656
12,a75_an,2,Beta,5.557614697314084
12,a75_an,3,Beta,5.651326483538227
12,a75_an,4,Beta,5.827819531413011
12,a75_an,5,Beta,4.2609507615781785
12,a75_an,6,Beta,1.5371180749974391
12,a75_an,7,Beta,4.861265305734683
12,a75_an,8,Beta,4.304946686601486
12,a75_an,9,Beta,6.26196265634615
12,a75_an,10,Beta,1.8474361456468265
12,a75_an,11,Beta,2.6769412447095644
12,a75_an,12,Beta,0.8209499916736063
12,a75_an,13,Beta,3.2854305138045086
12,a75_an,14,Beta,3.3955323486119875
12,a75_an,15,Beta,3.8962872506086343
13,a75_an,1,Delta,4.038486115545366
13,a75_an,2,Delta,5.004447000931664
13,a75_an,3,Delta,6.175496952408298
13,a75_an,4,Delta,4.797649591993669
13,a75_an,5,Delta,4.664077982267944
13,a75_an,6,Delta,5.338530155161305
13,a75_an,7,Delta,0.7222981207412839
13,a75_an,8,Delta,1.8675742030826121
13,a75_an,9,Delta,5.101389393311049
13,a75_an,10,Delta,5.231699306253826
13,a75_an,11,Delta,6.007359593849273
