subject,condition,trial,band,angle_rad
10,a75_an,15,Delta,3.7107914889908553
10,a75_an,1,Theta,2.29930210222982
10,a75_an,2,Theta,0.9014940058008593
10,a75_an,3,Theta,2.680045180287907
10,a75_an,4,Theta,3.6224260560090875
10,a75_an,5,Theta,5.486889671818614
10,a75_an,6,Theta,1.0517352911886995
10,a75_an,7,Theta,5.410262679755147
10,a75_an,8,Theta,1.2142580707176032
10,a75_an,9,Theta,1.2241644246226322
10,a75_an,10,Theta,1.780785032892937
10,a75_an,11,Theta,2.374063030804142
10,a75_an,12,Theta,4.668480871493603
10,a75_an,13,Theta,2.8198488707863727
10,a75_an,15,Theta,4.1685645647289675
10,a75_an,1,Alpha,2.06605706732153
10,a75_an,2,Alpha,5.911557792096797
10,a75_an,3,Alpha,4.089104400383552
10,a75_an,4,Alpha,3.7783021414641254
10,a75_an,5,Alpha,6.166770538933867
10,a75_an,6,Alpha,3.673014026785428
10,a75_an,7,Alpha,3.5280606133820926
10,a75_an,8,Alpha,5.83877092567148
10,a75_an,9,Alpha,2.2141177076925636
10,a75_an,10,Alpha,2.7832300547363964
10,a75_an,11,Alpha,2.291605883844766
10,a75_an,12,Alpha,4.96230783529655
10,a75_an,13,Alpha,5.170693683908186
10,a75_an,15,Alpha,0.022082659150701876
10,a75_an,1,Beta,6.035417908594079
10,a75_an,2,Beta,0.9417437695378188
10,a75_an,3,Beta,3.567794506689883
10,a75_an,4,Beta,0.48535458731188885
10,a75_an,5,Beta,4.430384831140613
10,a75_an,6,Beta,1.8547661949010152
10,a75_an,7,Beta,5.110033763632098
10,a75_an,8,Beta,3.5974888636804767
10,a75_an,9,Beta,6.209409147626656
10,a75_an,10,Beta,2.161191660964885
10,a75_an,11,Beta,3.429127206702066
10,a75_an,12,Beta,1.1384202973909365
10,a75_an,13,Beta,5.34059195329218
10,a75_an,15,Beta,0.7689357447919951
11,a50_an,1,Delta,3.5736975223087644
11,a50_an,2,Delta,5.129992098974303
11,a50_an,3,Delta,2.3750885595294413
11,a50_an,4,Delta,5.208712813728081
11,a50_an,5,Delta,4.816952867383234
11,a50_an,6,Delta,0.05970064352892433
11,a50_an,7,Delta,5.241701896649111
11,a50_an,8,Delta,1.7092981812503956
11,a50_an,9,Delta,4.818815920937514
11,a50_an,10,Delta,6.035489441260831
