subject,condition,trial,band,angle_rad
10,ia_a,47,Delta,5.257492388055753
10,ia_a,48,Delta,5.023713344258654
10,ia_a,49,Delta,4.876810750951622
10,ia_a,50,Delta,2.9496430154618913
10,ia_a,51,Delta,1.491141202555698
10,ia_a,52,Delta,1.244297959454516
10,ia_a,53,Delta,1.7347488036120664
10,ia_a,54,Delta,3.915601764250502
10,ia_a,55,Delta,4.752878962465089
10,ia_a,56,Delta,0.07077965915380555
10,ia_a,57,Delta,2.5085831350815266
10,ia_a,58,Delta,2.6895049329631586
10,ia_a,59,Delta,3.439793160510469
10,ia_a,60,Delta,1.2753912176803093
10,ia_a,1,Theta,3.1937399305551155
10,ia_a,2,Theta,1.8301462247942994
10,ia_a,3,Theta,6.074510720837289
10,ia_a,4,Theta,5.595279216744647
10,ia_a,5,Theta,0.15400463269628986
10,ia_a,6,Theta,4.943366706215269
10,ia_a,7,Theta,1.359939098073211
10,ia_a,8,Theta,0.603460844173392
10,ia_a,9,Theta,4.906028085406893
10,ia_a,10,Theta,0.06490738218511571
10,ia_a,11,Theta,2.1467406481774773
10,ia_a,12,Theta,4.821433308984795
10,ia_a,13,Theta,1.259368085150507
10,ia_a,14,Theta,2.0311762242312223
10,ia_a,15,Theta,5.489182690061096
10,ia_a,16,Theta,2.075969511320564
10,ia_a,17,Theta,5.042309205658277
10,ia_a,18,Theta,0.18557566085105578
10,ia_a,19,Theta,0.8635999423020021
10,ia_a,20,Theta,2.0834866131144163
10,ia_a,21,Theta,5.910850331515647
10,ia_a,22,Theta,1.0301725061738436
10,ia_a,23,Theta,0.24364534256997428
10,ia_a,24,Theta,0.23305151100333488
10,ia_a,25,Theta,3.840721231144385
10,ia_a,26,Theta,2.4983161087293695
10,ia_a,27,Theta,4.254757049908619
10,ia_a,28,Theta,3.3020894099424822
10,ia_a,29,Theta,0.125257315378741
10,ia_a,30,Theta,1.5963285615778775
10,ia_a,31,Theta,6.10944003465134
10,ia_a,32,Theta,4.832050976632385
10,ia_a,33,Theta,4.460782424355632
10,ia_a,34,Theta,3.786079507185876
10,ia_a,35,Theta,2.0439042316507727
10,ia_a,36,Theta,5.11604433017439
10,ia_a,37,Theta,2.7341294460343875
10,ia_a,38,Theta,5.314864324878572
10,ia_a,39,Theta,5.985131939808395
10,ia_a,40,Theta,1.7134635376902003
10,ia_a,41,Theta,5.276515934660724
10,ia_a,42,Theta,0.19812169109004807
10,ia_a,43,Theta,0.818291936644742
10,ia_a,44,Theta,2.181097306916349
10,ia_a,45,Theta,3.3820306821504627
10,ia_a,46,Theta,2.469863219061054
10,ia_a,47,Theta,5.476746940740643
10,ia_a,48,Theta,5.42227913037561
10,ia_a,49,Theta,5.135740002030088
10,ia_a,50,Theta,3.0196480023059076
10,ia_a,51,Theta,0.8644814357538424
10,ia_a,52,Theta,0.4149794113074746
10,ia_a,53,Theta,2.583074978598733
10,ia_a,54,Theta,3.8953503289430573
10,ia_a,55,Theta,1.7883070567599773
10,ia_a,56,Theta,5.582741298177133
10,ia_a,57,Theta,3.0542064949643586
10,ia_a,58,Theta,3.226223584985806
10,ia_a,59,Theta,5.403853963164397
10,ia_a,60,Theta,1.5197616919960408
10,ia_a,1,Alpha,2.998281068782683
10,ia_a,2,Alpha,2.6115138810984346
10,ia_a,3,Alpha,5.681623882412406
10,ia_a,4,Alpha,3.7678806628292754
10,ia_a,5,Alpha,5.599839925887094
10,ia_a,6,Alpha,6.259943581689158
10,ia_a,7,Alpha,0.8397163119493053
10,ia_a,8,Alpha,0.7850202419245218
10,ia_a,9,Alpha,5.351219733292779
10,ia_a,10,Alpha,5.35030509760845
10,ia_a,11,Alpha,0.6552910066070837
10,ia_a,12,Alpha,2.9689587349341404
10,ia_a,13,Alpha,5.9003224966167185
10,ia_a,14,Alpha,2.6378054508313085
10,ia_a,15,Alpha,5.189125178631382
10,ia_a,16,Alpha,0.12561759425512717
10,ia_a,17,Alpha,3.4597018310845504
10,ia_a,18,Alpha,5.886183042181096
10,ia_a,19,Alpha,4.781928298226482
10,ia_a,20,Alpha,2.0799942231386885
10,ia_a,21,Alpha,5.0206224270538655
10,ia_a,22,Alpha,1.2425299603561937
10,ia_a,23,Alpha,6.260952543386701
10,ia_a,24,Alpha,1.0912297601139955
10,ia_a,25,Alpha,3.934066452451689
10,ia_a,26,Alpha,0.2945651032224248
10,ia_a,27,Alpha,4.004218882519951
10,ia_a,28,Alpha,2.850657700227542
10,ia_a,29,Alpha,6.203978017908467
10,ia_a,30,Alpha,1.6209163248807477
10,ia_a,31,Alpha,0.1419238375428159
10,ia_a,32,Alpha,5.444291691695365
10,ia_a,33,Alpha,3.0126787682701965
10,ia_a,34,Alpha,1.6538421907238066
10,ia_a,35,Alpha,2.334392522717943
