subject,condition,trial,band,angle_rad
11,a50_an,24,Alpha,4.999845256484354
11,a50_an,25,Alpha,4.479337538801479
11,a50_an,26,Alpha,2.538177786968107
11,a50_an,27,Alpha,1.743456315342396
11,a50_an,28,Alpha,3.7170949370888393
11,a50_an,29,Alpha,5.932348292304699
11,a50_an,30,Alpha,4.196709216342792
11,a50_an,1,Beta,1.1438318137904042
11,a50_an,2,Beta,2.016240345814416
11,a50_an,3,Beta,4.115270469786301
11,a50_an,4,Beta,5.377370463900469
11,a50_an,5,Beta,3.0566605295291622
11,a50_an,6,Beta,4.9240337058384895
11,a50_an,7,Beta,2.151328022703104
11,a50_an,8,Beta,5.932238410947248
11,a50_an,9,Beta,1.7890938647076444
11,a50_an,10,Beta,5.359390075698057
11,a50_an,11,Beta,2.8287885603451874
11,a50_an,12,Beta,2.7315405482732706
11,a50_an,13,Beta,5.377352019421538
11,a50_an,14,Beta,5.089602827120018
11,a50_an,15,Beta,4.623726894927417
11,a50_an,16,Beta,4.04591515173195
11,a50_an,17,Beta,4.9598915031908914
11,a50_an,18,Beta,4.069457707171167
11,a50_an,19,Beta,3.0601514446487617
11,a50_an,20,Beta,3.4119330313632057
11,a50_an,21,Beta,5.584670984964826
11,a50_an,22,Beta,3.3033004458394855
11,a50_an,23,Beta,4.430244526241641
11,a50_an,24,Beta,3.4105136134271663
11,a50_an,25,Beta,4.981888319202016
11,a50_an,26,Beta,6.1830877792495
11,a50_an,27,Beta,1.4100660405142567
11,a50_an,28,Beta,4.999377187785484
11,a50_an,29,Beta,3.4893962653282835
11,a50_an,30,Beta,5.004343339162072
11,a75_an,1,Delta,1.061325242720572
11,a75_an,2,Delta,4.397533890412782
11,a75_an,3,Delta,3.909185550098287
11,a75_an,4,Delta,3.5292192210621125
11,a75_an,5,Delta,5.860447488041442
11,a75_an,6,Delta,2.6716061213860764
11,a75_an,7,Delta,1.6623449308326361
11,a75_an,8,Delta,2.020147596593659
11,a75_an,9,Delta,5.883327295064963
11,a75_an,10,Delta,5.133789374820437
11,a75_an,11,Delta,5.0514774936547004
11,a75_an,12,Delta,5.3729552957927345
11,a75_an,13,Delta,1.4375287225536102
11,a75_an,14,Delta,0.6988196925117847
11,a75_an,15,Delta,1.704568060005819
11,a75_an,1,Theta,0.797077717927864
11,a75_an,2,Theta,4.458372827629414
11,a75_an,3,Theta,3.3267834590074017
11,a75_an,4,Theta,3.6005818183415212
11,a75_an,5,Theta,5.705786776974413
11,a75_an,6,Theta,2.2350283247654326
11,a75_an,7,Theta,2.28051983238583
11,a75_an,8,Theta,1.297090793111708
11,a75_an,9,Theta,6.072245085015192
11,a75_an,10,Theta,4.892830632931275
11,a75_an,11,Theta,1.6439234649097596
11,a75_an,12,Theta,6.173836360393924
11,a75_an,13,Theta,0.9060123200322558
11,a75_an,14,Theta,0.7028135195084746
11,a75_an,15,Theta,1.9129827366155918
11,a75_an,1,Alpha,3.500016259067173
11,a75_an,2,Alpha,3.2777196588034316
11,a75_an,3,Alpha,2.0307762713888287
11,a75_an,4,Alpha,4.77260246281171
11,a75_an,5,Alpha,5.748971077562527
11,a75_an,6,Alpha,3.964262297202031
11,a75_an,7,Alpha,2.6146201960190654
11,a75_an,8,Alpha,1.3472634743202752
11,a75_an,9,Alpha,5.851392546661965
11,a75_an,10,Alpha,4.528904661202667
11,a75_an,11,Alpha,6.243588255693557
11,a75_an,12,Alpha,0.25534596585617947
11,a75_an,13,Alpha,0.5148131582087306
11,a75_an,14,Alpha,0.5488945176270278
11,a75_an,15,Alpha,2.100625311036365
11,a75_an,1,Beta,2.443360717632254
11,a75_an,2,Beta,2.7986121987063095
11,a75_an,3,Beta,5.147942477621499
11,a75_an,4,Beta,5.069304468467979
11,a75_an,5,Beta,0.9042038729300759
11,a75_an,6,Beta,2.8753608025150137
11,a75_an,7,Beta,4.600887838931647
11,a75_an,8,Beta,0.8853734521332131
11,a75_an,9,Beta,5.784907974886932
11,a75_an,10,Beta,3.572378008566235
11,a75_an,11,Beta,6.282713583835795
11,a75_an,12,Beta,4.233593027845107
11,a75_an,13,Beta,0.4109468615270101
11,a75_an,14,Beta,5.494956503196225
11,a75_an,15,Beta,2.315076267545233
12,a50_an,1,Delta,0.8669139240267122
12,a50_an,2,Delta,1.1123892014486563
12,a50_an,3,Delta,1.7814537161009358
12,a50_an,4,Delta,2.3490676957261245
12,a50_an,5,Delta,4.870827904589042
12,a50_an,6,Delta,5.209995274986776
12,a50_an,7,Delta,3.009741361499039
12,a50_an,8,Delta,4.732633556139524
12,a50_an,9,Delta,5.08677620527374
12,a50_an,10,Delta,4.295165484054546
12,a50_an,12,Delta,4.554388354944966
12,a50_an,13,Delta,4.481419413464096
12,a50_an,14,Delta,4.565364615218662
12,a50_an,15,Delta,1.7859011824036828
12,a50_an,16,Delta,0.6505869720083719
12,a50_an,17,Delta,1.2888358759072585
12,a50_an,18,Delta,4.865939899636318
12,a50_an,19,Delta,3.9104178728578463
12,a50_an,20,Delta,4.131149461618268
12,a50_an,21,Delta,5.128781341710349
12,a50_an,22,Delta,4.729028767483782
12,a50_an,23,Delta,1.6526695857061144
12,a50_an,24,Delta,0.054320284938608104
12,a50_an,25,Delta,3.429412125558904
