subject,label,condition,trial,band,angle_rad
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,1,Beta,5.1873152676296
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,2,Beta,4.2072420082194375
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,3,Beta,3.0052762662806134
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,4,Beta,0.07440978639850819
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,5,Beta,2.0518248777718306
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,6,Beta,0.41184009528719934
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,7,Beta,3.8552030442102976
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,8,Beta,1.2241759215485293
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,9,Beta,3.3010842521223274
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,10,Beta,1.230913826658713
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,11,Beta,1.0867461861543972
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,12,Beta,0.49318640155174903
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,13,Beta,1.7417051780594657
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,14,Beta,2.513140225605746
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,15,Beta,4.710210299160165
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,16,Beta,1.9792144530704463
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,17,Beta,1.8893855537181963
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,18,Beta,4.066640788227804
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,19,Beta,5.318210417029638
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,20,Beta,0.2307518701124911
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,21,Beta,2.5726731908766856
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,22,Beta,4.16502423780474
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,23,Beta,0.1276870558963364
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,24,Beta,4.5144650087844145
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,25,Beta,2.485461158231083
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,26,Beta,3.0938780606353022
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,27,Beta,5.328135231435356
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,28,Beta,3.331457933432582
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,29,Beta,5.258765628218987
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,30,Beta,4.403142560523781
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,31,Beta,5.255478219556027
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,32,Beta,4.087973190749564
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,33,Beta,4.893949377036105
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,34,Beta,6.079214012884644
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,35,Beta,2.8411972863724064
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,36,Beta,5.406310465808156
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,37,Beta,1.3200477405650335
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,38,Beta,3.2462687362809213
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,39,Beta,3.7737937246391478
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,40,Beta,1.609595488124962
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,41,Beta,3.019343070820814
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,42,Beta,0.42415030460610587
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,43,Beta,5.5102484352097765
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,44,Beta,0.10289057667283248
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,45,Beta,5.354484803916529
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,46,Beta,1.6440802852093355
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,47,Beta,4.523471960140873
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,48,Beta,1.9858659939944594
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,49,Beta,2.8197130184237915
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,50,Beta,4.169020231929685
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,51,Beta,0.29993258001799383
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,52,Beta,0.18919717659449056
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,53,Beta,5.935353530715733
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,54,Beta,1.6168362921807982
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,55,Beta,6.092299783544011
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,56,Beta,3.303746191166091
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,57,Beta,1.8207465985566904
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,58,Beta,2.862469468205006
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,1,Delta,4.950547121532825
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,2,Delta,2.429578646893108
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,3,Delta,4.481311211452901
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,4,Delta,1.955531417685602
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,5,Delta,1.709064073226793
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,7,Delta,6.010363632248558
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,8,Delta,5.578948428481555
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,9,Delta,1.660835295647358
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,10,Delta,1.3043469135302304
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,11,Delta,3.444198349901255
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,13,Delta,4.838792953413738
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,14,Delta,0.7286950110763588
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,15,Delta,4.45035728505139
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,17,Delta,0.6773101060496268
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,18,Delta,0.5068783302020365
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,19,Delta,1.686347193316186
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,20,Delta,5.934843069375417
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,21,Delta,3.6645626244815674
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,22,Delta,1.8763574666427985
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,23,Delta,2.6624071758677217
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,24,Delta,1.7639768561504319
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,25,Delta,3.0227032737684607
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,26,Delta,5.145415957920093
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,27,Delta,1.0826361893687968
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,28,Delta,1.9483117568937995
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,29,Delta,1.4355011330822873
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,30,Delta,1.9307538691094448
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,31,Delta,5.435820511715651
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,32,Delta,1.5349162216615095
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,33,Delta,2.235407914354759
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,34,Delta,1.1957038232882318
