"region","lower","upper","Value"
"DLPFCR",520,530,-0.28545152493938
"DLPFCR",530,540,-0.554730958446476
"DLPFCR",540,550,-0.655176984982399
"DLPFCR",550,560,-0.552246947655829
"DLPFCR",560,570,-0.467162756250273
"DLPFCR",570,580,-0.48970853025671
"DLPFCR",580,590,-0.488996871068508
"DLPFCR",590,600,-0.388612364585065
"DLPFCR",600,610,-0.242613339022581
"DLPFCR",610,620,-0.148425572712319
"DLPFCR",620,630,-0.201811100354166
"DLPFCR",630,640,-0.343060644300287
"DLPFCR",640,650,-0.336272031840708
"DLPFCR",650,660,-0.135690497318666
"DLPFCR",660,670,-0.014846674686249
"DLPFCR",670,680,-0.129726612455848
"DLPFCR",680,690,-0.297491064997104
"DLPFCR",690,700,-0.331959290318238
"PrecuneusR",100,110,-0.000645265211611892
"PrecuneusR",110,120,0.0237989998104628
"PrecuneusR",120,130,-0.0778184637601559
"PrecuneusR",130,140,-0.115354299113762
"PrecuneusR",140,150,-0.0345732327902778
"PrecuneusR",150,160,-0.00187858830341345
"PrecuneusR",160,170,-0.117843808114713
"PrecuneusR",170,180,-0.201491224828897
"PrecuneusR",180,190,-0.103955940726906
"PrecuneusR",190,200,0.0083341994056477
"PrecuneusR",200,210,-0.00758354214242424
"PrecuneusR",210,220,-0.0171857585016159
"PrecuneusR",220,230,0.0500110512209388
"PrecuneusR",230,240,0.0668373604858885
"PrecuneusR",240,250,0.0314011447236688
"PrecuneusR",250,260,0.0552304091385454
"PrecuneusR",260,270,0.101241959250005
"PrecuneusR",270,280,0.10348501991197
"PrecuneusR",280,290,0.108903539859101
"PrecuneusR",290,300,0.114873682834906
"PrecuneusR",300,310,0.0914954427853373
"PrecuneusR",310,320,0.124166968082892
"PrecuneusR",320,330,0.231780624097869
"PrecuneusR",330,340,0.289881957547288
"PrecuneusR",340,350,0.299907509177107
"PrecuneusR",350,360,0.342365964906542
"PrecuneusR",360,370,0.301345827325285
"PrecuneusR",370,380,0.0976776362644977
"PrecuneusR",380,390,-0.0292514760458226
"PrecuneusR",390,400,0.0976624004606865
"PrecuneusR",400,410,0.277994933637588
"PrecuneusR",410,420,0.305148202320635
"PrecuneusR",420,430,0.249707973220776
"PrecuneusR",430,440,0.210200663945702
"PrecuneusR",440,450,0.168078663681437
"PrecuneusR",450,460,0.145993288675118
"PrecuneusR",460,470,0.204679033479503
"PrecuneusR",470,480,0.284461335218442
"PrecuneusR",480,490,0.261448381415187
"PrecuneusR",490,500,0.157275606482409
"PrecuneusR",500,510,0.130754654813355
"PrecuneusR",510,520,0.207424835931833
"PrecuneusR",520,530,0.19293646597459
"PrecuneusR",530,540,0.00187399286948276
"PrecuneusR",540,550,-0.158012422472418
"PrecuneusR",550,560,-0.136832155728188
"PrecuneusR",560,570,-0.0606014697458103
"PrecuneusR",570,580,-0.013254506274676
"PrecuneusR",580,590,0.0735385113476435
"PrecuneusR",590,600,0.125414064577361
"PrecuneusR",600,610,0.0243363939229641
"PrecuneusR",610,620,-0.074325778832463
"PrecuneusR",620,630,-0.0256589820876949
"PrecuneusR",630,640,-0.000490912945185383
"PrecuneusR",640,650,-0.0858090854408113
"PrecuneusR",650,660,-0.0844515776264824
"PrecuneusR",660,670,0.0207981295456448
"PrecuneusR",670,680,0.0349365254148473
"PrecuneusR",680,690,0.014437976145705
"PrecuneusR",690,700,0.101721977923994
