subject,label,condition,trial,meanAmplitude,Alpha_bandPower,Beta_bandPower,Delta_bandPower,Theta_bandPower,Alpha_bandITPC,Beta_bandITPC,Delta_bandITPC,Theta_bandITPC
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,35,-9.953116938309451,23596.563405024583,6943.57676769056,151761.4395785617,62931.917790404965,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,36,5.28041908975384,3475.3548096051372,4336.625851679787,4198.922963172079,6569.022091850273,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,37,12.670376873117732,12558.726855290139,5023.217660383983,30302.808347992748,21949.195273451045,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,38,8.723324281210788,18446.010227516606,2928.3809893914004,215943.86328742135,78150.71847588557,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,39,12.848499321328731,17555.022182624904,6649.465229984809,1963.979484775145,6466.443500781958,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,40,16.45294907181055,35271.76512412894,6567.122633538268,45922.578899514876,37349.27233704331,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,41,15.071703802016764,29107.872787800807,5315.0900511974105,530645.0426208695,65165.597571916645,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,42,-7.555778485851041,3705.477138022909,5801.552175678915,138455.8579157507,117766.62346828272,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,43,25.27341538997312,3665.640992979957,8930.028084738458,63423.67157788059,60263.17127500845,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,44,-33.93088292796181,74610.45393473323,2489.670320841943,329760.1286736158,109890.54111552816,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,45,-17.13326395719115,24668.71822114626,11621.645785647148,109931.40528853607,70747.34130610671,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
