subject,label,condition,trial,meanAmplitude,Alpha_bandPower,Beta_bandPower,Delta_bandPower,Gamma_bandPower,Theta_bandPower,Alpha_bandITPC,Beta_bandITPC,Delta_bandITPC,Gamma_bandITPC,Theta_bandITPC
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,40,23.06064821979885,5466.042324944272,1095.4230768212813,3954.3305400886657,257.21839760022175,9049.035831852152,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,41,-2.6108884663872423,4588.763020598654,2521.0954484674767,30098.400212564182,814.6243874646976,9400.740483701253,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,42,2.173550627050699,1081.4479279510617,1307.482683039534,23673.376071315888,227.7075913031004,11361.991682520462,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,43,-7.720329968166055,885.9547886856803,1102.1134323107883,28271.79388942855,361.6299890698468,14063.343713178381,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,44,-23.198804137681595,10033.409031427727,1500.1088719367872,40276.338356133376,727.262668651287,31611.783794504812,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,45,14.676444898920096,4070.2191997731256,3319.250289806156,3737.986295025214,361.5724792085389,3474.7003625155244,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,46,3.167591687736696,14583.242661728376,5961.422368998907,66171.36646036564,445.04008628992057,17311.66646372528,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,47,4.5229889899864295,6698.079118203304,3884.786459294384,206239.9462541783,1454.760592505585,45106.69267367911,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,48,-55.98105535439381,2379.1086105069103,1839.1700650261969,6901.603711008569,473.93447710889194,7593.005977017453,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,49,7.891425066697005,14254.803628898582,3704.7154821919694,224257.13182887458,878.0379060430397,55164.20990085197,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
